year,offence,location,unit,value
2023,Assault,New South Wales,"Victimisation rate (number per 100,000)",1857.3
2023,Assault,Queensland,"Victimisation rate (number per 100,000)",4235.9
2023,Assault,South Australia,"Victimisation rate (number per 100,000)",5198.8
2023,Assault,Northern Territory,"Victimisation rate (number per 100,000)",8506.2
2023,Homicide and related offences,New South Wales,"Victimisation rate (number per 100,000)",1.6
2023,Homicide and related offences,Queensland,"Victimisation rate (number per 100,000)",1.9
2023,Homicide and related offences,South Australia,"Victimisation rate (number per 100,000)",0.0
2023,Homicide and related offences,Northern Territory,"Victimisation rate (number per 100,000)",8.8
2023,Kidnapping/abduction,New South Wales,"Victimisation rate (number per 100,000)",6.6
2023,Kidnapping/abduction,Queensland,"Victimisation rate (number per 100,000)",0.0
2023,Kidnapping/abduction,South Australia,"Victimisation rate (number per 100,000)",0.0
2023,Kidnapping/abduction,Northern Territory,"Victimisation rate (number per 100,000)",0.0
2023,Sexual assault,New South Wales,"Victimisation rate (number per 100,000)",255.9
2023,Sexual assault,Queensland,"Victimisation rate (number per 100,000)",184.2
2023,Sexual assault,South Australia,"Victimisation rate (number per 100,000)",157.2
2023,Sexual assault,Northern Territory,"Victimisation rate (number per 100,000)",91.6
2024,Assault,New South Wales,"Victimisation rate (number per 100,000)",1574.9
2024,Assault,Queensland,"Victimisation rate (number per 100,000)",2381.3
2024,Assault,South Australia,"Victimisation rate (number per 100,000)",5402.2
2024,Assault,Northern Territory,"Victimisation rate (number per 100,000)",n.p.
2024,Homicide and related offences,New South Wales,"Victimisation rate (number per 100,000)",0.0
2024,Homicide and related offences,Queensland,"Victimisation rate (number per 100,000)",n.p.
2024,Homicide and related offences,South Australia,"Victimisation rate (number per 100,000)",5.5
2024,Homicide and related offences,Northern Territory,"Victimisation rate (number per 100,000)",n.p.
2024,Kidnapping/abduction,New South Wales,"Victimisation rate (number per 100,000)",4.7
2024,Kidnapping/abduction,Queensland,"Victimisation rate (number per 100,000)",n.p.
2024,Kidnapping/abduction,South Australia,"Victimisation rate (number per 100,000)",5.5
2024,Kidnapping/abduction,Northern Territory,"Victimisation rate (number per 100,000)",n.p.
2024,Sexual assault,New South Wales,"Victimisation rate (number per 100,000)",229.0
2024,Sexual assault,Queensland,"Victimisation rate (number per 100,000)",151.7
2024,Sexual assault,South Australia,"Victimisation rate (number per 100,000)",120.8
2024,Sexual assault,Northern Territory,"Victimisation rate (number per 100,000)",n.p.
