"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.14","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Supreme","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","27668","22961","28510","19031","12522","10366","20687","13496","","155241"
"7A.14","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","District/county","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","131368","101119","69769","74486","26436","..","..","..","","403178"
"7A.14","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","172146","188832","111369","71008","51910","12027","17060","15466","","639818"
"7A.14","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Children's","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","10471","14291","15124","6676","2609","1062","2381","2012","","54627"
"7A.14","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","182617","203124","126493","77684","54519","13089","19441","17478","","694445"
"7A.14","2019-20","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","All criminal courts","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","331094","337638","223685","175505","88924","21750","39486","31122","","1249204"
"7A.14","2019-20","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Supreme","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","25628","24463","25486","19637","11885","10015","19637","13471","","150223"
"7A.14","2019-20","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","District/county","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","135618","105046","67898","78416","24859","..","..","..","","411836"
"7A.14","2019-20","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","160086","199561","115618","72054","49651","10705","17334","15655","","640663"
"7A.14","2019-20","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Children's","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","9762","8567","14683","5399","2529","1030","2516","1996","","46482"
"7A.14","2019-20","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","169848","208129","130302","77452","52180","11735","19850","17650","","687145"
"7A.14","2018-19","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","All criminal courts","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","284645","309300","219478","166566","91416","22969","30869","34792","","1160035"
"7A.14","2018-19","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","Supreme","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","24736","27784","25855","21205","12384","11644","14317","14967","","152891"
"7A.14","2018-19","Recurrent expenditure","All ages","All people","All people","All areas","Criminal","District/county","2024-25 dollars","Real net recurrent expenditure; criminal","Excluding payroll tax","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","115262","102134","68221","70499","26481","..","..","..","","382598"
